#GENE	COV002_endo	COV003_endo	COV004_endo	COV005_endo	COV006_endo	COV007_endo	COV008_endo	COV010_endo	COV011_endo	COV012_endo	COV013_endo	COV014_endo	COV015_endo	COV016_endo
ABCC5	905	1256	742	456	827	699	1209	801	684	659	1166	767	679	1180
ABCC5-AS1	92	0	13	0	12	8	8	0	0	13	62	0	0	2
ABCC6	57	112	34	145	70	55	63	30	33	60	9	45	44	109
ABCC6P1	11	0	12	0	0	8	5	9	1	1	105	12	66	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	2	0	15	1	21	3	31	4	28	0	27	6	23	28
ABCC9	19	0	70	1	10	8	30	3	49	1	99	13	99	37
ABCD1	96	161	62	340	151	165	177	107	79	62	106	75	88	114
ABCD1P2	0	0	0	1	0	0	3	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCD2	51	0	0	1	0	0	0	0	7	1	3	0	0	0
ABCD3	4481	4397	3578	2463	3680	3570	3575	5066	4134	3176	2731	4241	4348	4420
ABCD4	1371	2562	1144	1220	1699	1612	2247	1985	1124	1384	1142	1272	780	1225
ABCE1	16211	10411	13753	10631	17991	14465	13281	18843	15123	13641	12060	14530	12560	15687
ABCF1	2679	3603	2081	3222	2379	2516	3511	2826	1785	1950	1932	1845	1430	2477
ABCF2	4202	7182	3710	6015	4019	3997	6800	4712	3037	3743	2876	3753	2390	4090
ABCF2P1	6	6	0	4	3	4	10	6	0	1	2	2	29	6
ABCF2P2	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ABCF3	840	2369	813	1242	954	1168	1593	1084	838	639	763	584	611	967
ABCG1	845	1134	812	980	705	833	1421	1061	679	949	517	559	216	665
ABCG2	20	142	18	3	77	94	17	16	70	11	28	2	89	66
ABCG4	57	150	14	0	16	28	15	5	3	6	44	15	13	11
ABCG5	9	108	6	11	3	28	17	26	20	1	3	0	10	33
ABCG8	39	0	26	3	15	9	42	10	12	2	45	20	9	13
ABHD1	12	0	10	77	53	33	45	9	35	2	40	10	1	41
ABHD10	3764	4448	3376	3663	4271	3779	4167	4280	3442	3376	2735	3552	3292	3893
ABHD11	629	758	390	356	460	632	638	529	323	362	317	296	322	439
ABHD11-AS1	0	0	10	34	20	5	3	2	4	2	32	3	0	5
ABHD12	1887	1656	1917	1760	2006	1824	2828	1742	1415	1535	1517	1295	1199	1746
ABHD12B	34	1	19	4	14	41	15	2	28	4	68	26	45	45
ABHD13	1678	2094	2334	2983	3199	3087	2551	4806	2501	2368	2441	2773	2779	2718
ABHD14A	322	669	218	232	230	361	516	334	207	231	252	231	201	231
ABHD14A-ACY1	6	9	7	0	0	5	0	3	0	5	6	3	2	0
ABHD14B	1301	3712	983	2171	1361	1245	1842	1287	867	1107	1002	946	751	1114
ABHD15	562	297	141	529	192	353	325	210	210	177	134	156	190	332
ABHD15-AS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABHD16A	119	132	156	178	136	144	179	156	94	99	93	62	68	51
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	878	2055	673	1101	892	1112	1336	845	566	490	680	585	496	724
ABHD17AP1	5	11	2	15	7	3	8	4	2	1	7	1	5	5
ABHD17AP3	3	4	0	3	0	3	1	1	1	0	4	3	4	4
ABHD17AP4	5	1	0	8	1	6	0	3	1	1	0	0	3	6
ABHD17AP5	0	4	2	12	0	1	0	1	0	4	1	0	0	0
ABHD17AP6	3	1	0	0	1	1	3	0	1	0	1	0	0	0
ABHD17AP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B	1091	986	987	1132	1113	1183	1048	1513	924	1031	903	1169	1066	1193
ABHD17C	248	377	284	281	630	460	209	227	518	453	463	459	444	442
ABHD18	905	2910	476	408	1226	939	702	834	958	993	1271	912	447	1159
ABHD2	615	1029	661	851	940	644	1041	879	556	775	942	803	551	643
ABHD3	969	976	779	785	753	883	818	865	744	821	453	727	894	1074
ABHD4	2013	3578	1517	2046	1292	1861	2942	2347	1474	1387	1629	1260	1089	1519
ABHD5	4298	4990	3253	1750	3907	3299	3963	3993	3003	2849	3111	3785	3600	4376
ABHD6	715	328	399	351	575	673	644	744	407	395	585	597	518	608
ABHD8	69	241	134	200	153	143	226	184	108	85	140	126	102	114
ABI1	9924	9940	9764	7897	11508	12316	10302	16325	9663	9149	8674	9101	10170	9910
ABI1P1	4	0	20	0	8	0	2	0	14	0	0	1	57	9
ABI2	2930	2995	2569	1629	3504	2439	3135	2913	2435	1769	1552	2268	2852	2599
ABI3	576	561	497	885	558	548	1074	477	291	511	405	293	352	641
ABI3BP	475	536	299	131	342	182	259	324	259	362	133	338	236	314
ABITRAM	4061	2362	3663	2354	4561	4911	4583	5258	4168	4639	4380	4383	4813	5670
ABITRAMP1	0	0	0	1	0	0	1	2	0	0	1	0	7	1
ABL1	811	1862	535	1096	882	876	1075	716	429	722	565	618	534	955
ABL2	6087	4527	4481	2733	7107	5176	5189	4636	4184	4030	3802	4515	3781	6769
ABLIM1	1627	2327	970	651	1346	1044	1937	1424	1224	1101	1150	1325	1556	1427
ABLIM2	7	0	7	0	14	6	56	26	22	7	55	8	16	11
ABLIM3	725	496	405	812	708	636	1023	717	420	417	400	509	317	630
ABO	1	0	0	19	1	8	1	1	1	0	0	2	0	0
ABR	1248	3264	1013	2636	1235	1678	2057	1177	818	774	723	778	563	1168
ABRA	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABRACL	19196	18980	14635	10205	19170	17772	13971	19791	12990	12613	13143	13793	15926	18120
ABRAXAS1	1214	742	889	381	1444	807	977	1515	847	1356	989	1155	998	1120
ABRAXAS2	1885	2450	1556	567	1932	2031	1602	1756	1581	1738	1889	1472	1552	2280
ABT1	2457	4087	3002	3358	3452	3525	4807	3568	2362	2534	2705	2371	2378	3158
ABT1P1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ABTB1	149	129	102	112	188	331	261	221	148	119	46	98	121	120
ABTB2	18	1	12	2	4	19	53	8	8	9	4	9	4	18
AC000029.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000029.2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
AC000032.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
