#GENE	COV002_endo	COV003_endo	COV004_endo	COV005_endo	COV006_endo	COV007_endo	COV008_endo	COV010_endo	COV011_endo	COV012_endo	COV013_endo	COV014_endo	COV015_endo	COV016_endo
AC106738.2	0	0	0	0	0	0	0	0	0	0	0	5	0	0
AC106739.1	0	0	5	26	4	3	2	3	7	7	2	11	3	0
AC106741.1	0	0	2	1	0	0	0	0	1	0	0	0	0	0
AC106741.2	0	0	0	0	0	0	10	0	0	0	0	0	0	0
AC106742.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106743.1	0	0	0	0	0	0	0	0	10	0	0	6	0	0
AC106744.1	0	0	0	0	0	0	0	4	0	0	0	0	0	3
AC106744.2	0	0	0	0	0	0	0	0	3	0	0	0	0	0
AC106745.1	0	0	3	0	0	0	0	1	6	0	0	0	0	0
AC106748.1	0	0	1	0	0	0	0	0	4	0	0	0	21	0
AC106754.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106754.2	0	0	17	0	0	0	0	0	0	0	0	0	0	0
AC106760.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106760.2	0	23	4	5	2	2	2	0	0	0	2	0	1	0
AC106771.1	0	0	0	0	0	7	0	0	4	0	0	0	0	0
AC106772.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106772.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106774.1	1	0	0	0	5	1	0	0	0	0	0	0	0	8
AC106779.1	0	98	0	0	0	0	0	6	1	1	0	0	0	1
AC106782.1	0	2	1	15	0	4	5	0	2	1	0	2	2	1
AC106782.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106782.3	0	0	2	0	0	0	0	0	0	2	0	0	0	1
AC106782.4	0	0	0	0	2	1	0	1	0	0	0	3	1	2
AC106782.5	1	0	1	0	0	3	0	3	1	0	1	0	3	0
AC106782.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106785.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106785.2	0	0	0	0	0	0	4	0	0	0	0	20	0	0
AC106786.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106788.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC106791.1	155	144	156	229	155	207	161	245	208	235	158	168	382	244
AC106791.2	0	0	0	0	0	0	16	0	0	0	0	0	0	0
AC106791.3	0	0	8	0	1	8	1	0	6	0	2	0	19	1
AC106793.1	142	0	46	0	98	39	51	30	18	13	110	74	5	17
AC106794.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106794.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106795.1	353	817	390	420	441	446	620	402	354	343	319	329	294	449
AC106795.2	30	0	8	0	25	0	2	14	7	4	1	3	32	14
AC106795.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC106795.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106796.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AC106798.1	0	0	5	0	0	10	0	0	4	0	0	0	0	0
AC106799.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106799.2	0	0	0	0	1	1	8	0	5	0	0	14	1	0
AC106799.3	1	0	37	0	0	0	0	0	2	0	12	12	0	0
AC106800.1	38	39	27	40	41	59	50	24	17	17	22	14	27	10
AC106800.2	3	16	20	4	6	15	5	10	13	5	38	15	9	28
AC106800.3	0	0	10	0	0	6	0	0	0	0	0	0	0	0
AC106800.4	34	13	14	12	8	4	22	1	3	4	9	2	3	3
AC106801.1	34	0	3	0	13	14	13	2	12	39	0	10	0	31
AC106802.1	0	0	6	0	0	0	0	0	3	4	0	1	4	3
AC106806.1	5	3	4	1	5	6	2	3	2	2	3	3	6	3
AC106806.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC106818.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106818.2	0	0	4	0	0	17	1	0	0	0	0	0	0	7
AC106820.1	15	25	22	16	18	10	18	12	13	5	8	5	9	19
AC106820.2	0	0	0	0	0	1	1	10	6	2	29	4	0	8
AC106820.3	1	0	0	0	13	0	1	0	0	0	0	2	10	0
AC106820.4	1	0	1	0	14	1	7	0	16	1	0	8	19	9
AC106820.5	0	2	2	0	4	0	2	0	0	0	0	0	1	0
AC106820.6	1	0	0	0	4	10	1	0	1	1	0	3	2	37
AC106821.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106821.2	0	0	0	0	0	3	0	0	2	0	0	0	0	0
AC106821.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106821.4	0	0	0	0	0	0	5	0	16	0	0	1	12	3
AC106822.1	53	0	5	0	0	0	0	0	1	0	0	0	0	0
AC106827.1	0	0	1	0	0	4	4	0	0	2	0	0	0	0
AC106827.2	0	0	10	0	0	3	2	0	0	2	4	0	8	0
AC106845.1	76	0	94	227	191	131	61	34	63	81	48	97	16	156
AC106856.1	0	0	0	0	0	0	4	0	1	0	0	0	0	7
AC106858.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC106864.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC106865.1	0	3	2	0	0	3	1	0	2	0	1	1	1	0
AC106865.2	3	301	13	2	24	3	1	5	4	1	3	3	14	0
AC106868.1	0	0	0	0	0	1	0	3	0	0	0	0	0	0
AC106870.1	55	0	4	0	0	1	17	5	10	0	38	24	25	0
AC106870.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106870.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106871.1	17	0	11	0	0	0	0	1	15	0	0	0	48	0
AC106872.1	38	0	0	177	0	0	8	0	0	0	24	0	0	0
AC106872.10	0	0	0	0	0	0	0	0	0	0	6	1	0	0
AC106872.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106872.12	11	0	12	0	0	0	0	2	3	0	0	2	0	10
AC106872.2	80	14	11	3	38	22	10	4	23	8	19	14	18	31
AC106872.3	0	1	0	8	1	2	4	0	5	0	10	1	3	0
AC106872.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106872.5	0	0	19	0	1	5	3	2	1	0	0	0	1	2
AC106872.6	1	5	1	10	3	6	3	4	2	1	1	2	5	20
AC106872.7	0	0	7	0	0	1	0	1	0	0	0	0	0	0
AC106872.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106872.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106873.1	7	0	0	0	2	4	0	5	3	0	0	0	0	1
AC106873.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106873.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106873.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106873.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106873.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106873.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106874.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106875.1	19	9	5	0	4	30	19	27	12	8	0	0	1	3
AC106875.2	20	0	2	0	1	0	0	0	3	0	0	0	0	0
AC106876.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106881.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106882.1	1	0	19	11	6	27	9	2	0	3	1	6	18	11
AC106883.1	0	0	0	0	0	0	0	0	0	0	0	0	29	0
AC106886.1	0	0	0	0	0	0	2	1	0	1	0	0	0	0
AC106886.2	4	0	1	0	1	0	0	0	0	0	0	0	0	1
AC106886.3	0	0	1	0	0	2	0	0	0	2	0	0	0	0
AC106886.4	0	0	0	0	0	0	1	5	2	0	3	0	0	3
AC106886.5	2	0	2	0	7	0	0	2	2	7	2	4	0	2
AC106886.6	6	0	8	12	4	13	4	0	4	0	1	0	4	5
AC106892.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106894.1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
AC106895.1	8	94	1	0	0	7	0	0	2	1	2	1	8	4
AC106895.2	0	0	0	0	3	2	0	0	5	0	16	2	19	0
AC106897.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC106897.2	140	257	54	102	64	49	22	114	54	46	21	67	55	65
AC106900.1	0	0	1	0	0	0	2	0	0	0	0	0	1	0
AC106901.1	0	0	28	0	0	1	0	1	28	0	0	0	0	0
AC107015.1	0	0	0	0	0	0	3	26	0	0	0	0	0	11
AC107016.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107016.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107021.1	4	0	1	34	6	0	3	20	22	5	0	9	6	8
AC107021.2	65	260	65	0	70	53	73	50	24	42	0	100	229	104
AC107023.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107024.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107027.1	67	2	50	0	43	12	11	69	92	22	66	69	47	20
AC107027.2	0	0	0	0	0	1	0	0	0	0	0	0	4	4
AC107027.3	79	840	27	2	137	9	12	51	68	9	6	72	165	12
AC107029.1	78	0	17	0	0	10	0	1	4	0	0	0	2	4
AC107029.2	0	0	14	3	0	17	14	12	35	2	0	12	7	2
AC107031.1	7	0	3	0	0	0	0	0	4	4	0	1	0	1
AC107032.1	40	59	46	43	79	43	39	56	25	28	35	39	69	71
AC107032.2	0	0	8	0	0	0	4	0	0	1	0	27	9	4
AC107032.3	7	0	8	0	0	1	3	13	1	0	0	4	0	11
AC107033.1	11	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107050.1	15	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107055.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107057.1	0	0	2	0	0	0	0	0	1	0	4	0	0	0
AC107058.1	0	0	0	0	0	3	0	0	0	0	0	0	0	42
AC107067.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107067.2	0	0	8	0	0	0	0	0	0	0	0	0	0	0
AC107067.3	0	0	1	0	3	0	3	1	7	0	0	0	4	2
AC107068.1	353	39	135	97	370	297	146	193	186	224	147	126	114	285
AC107068.2	1	1	6	0	21	17	3	30	20	10	0	15	0	1
AC107071.1	193	924	10	0	108	48	54	39	51	17	347	24	49	57
AC107072.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107072.2	36	0	40	28	0	20	9	12	52	13	6	34	40	6
AC107074.1	0	0	0	0	0	0	0	0	8	0	0	0	2	0
AC107075.1	85	69	37	13	111	34	32	40	48	49	71	38	73	116
AC107079.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107081.1	0	0	0	0	0	7	0	40	0	0	0	0	5	0
AC107081.2	17	0	5	50	40	16	0	28	3	2	1	8	35	58
AC107081.3	0	0	20	0	21	3	3	0	12	4	0	14	16	16
AC107081.4	0	0	0	3	0	0	3	0	0	0	0	9	0	0
AC107081.5	0	3	6	1	6	1	14	2	1	10	39	22	1	5
AC107083.1	0	3	7	0	0	3	4	0	0	0	0	0	2	0
AC107204.1	3	18	29	0	0	0	1	87	34	0	1	14	17	17
AC107208.1	2	0	4	0	1	0	39	7	72	0	8	2	1	3
AC107214.1	45	0	69	0	57	28	72	98	66	63	15	24	94	56
AC107214.2	59	2	47	108	34	38	12	35	46	5	0	5	0	69
AC107219.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC107220.1	0	0	0	0	0	4	2	0	0	0	0	0	1	0
AC107222.1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AC107222.2	52	1	4	0	0	0	0	0	0	0	0	22	8	38
AC107223.1	86	0	78	36	59	43	42	56	88	35	54	34	30	46
AC107241.1	0	0	2	6	11	0	4	0	0	0	0	0	0	0
AC107294.1	31	0	0	3	0	0	0	0	0	0	0	0	13	0
AC107294.2	9	0	26	1	3	4	18	7	8	0	50	3	32	10
AC107294.3	0	0	0	0	0	0	0	2	0	0	0	1	0	0
AC107294.4	6	0	1	0	4	0	0	1	1	0	20	6	5	1
AC107297.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107302.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107302.2	0	0	0	0	0	0	4	0	2	0	0	7	4	0
AC107304.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107308.1	25	0	8	0	5	12	13	13	17	46	0	4	45	14
AC107373.1	22	0	7	0	0	2	11	0	1	0	0	0	11	13
AC107373.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC107373.3	0	0	0	0	0	0	0	0	4	0	0	0	0	0
AC107375.1	10	199	39	158	43	30	101	39	27	25	30	35	49	21
AC107376.1	0	0	0	0	0	1	1	3	0	0	0	2	0	0
AC107385.1	0	0	0	0	0	0	0	0	0	1	0	6	0	0
AC107385.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107390.1	0	0	0	0	3	0	0	0	0	0	47	0	0	0
AC107391.1	0	0	0	0	0	1	0	5	0	0	2	0	0	0
AC107393.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107393.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107396.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107398.1	2	3	0	0	13	3	4	0	14	8	2	0	0	1
AC107398.2	0	0	0	0	0	3	5	3	0	0	3	2	0	2
AC107398.3	0	0	5	0	0	1	1	0	0	0	61	7	16	25
AC107398.4	0	0	3	0	0	7	0	7	14	6	3	0	0	11
AC107398.5	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AC107399.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107401.1	0	0	0	0	0	0	0	0	0	0	28	0	62	0
AC107419.1	16	15	39	0	4	30	21	12	19	42	33	40	3	21
AC107421.1	1	5	7	0	2	0	1	1	2	1	1	1	0	7
AC107463.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107464.1	0	0	0	0	0	0	0	0	4	1	0	0	0	0
AC107464.2	0	0	0	0	0	0	1	0	0	0	0	0	3	0
AC107613.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107626.1	0	0	0	0	0	0	0	0	3	0	0	0	0	0
AC107871.1	24	18	46	0	29	13	44	18	55	28	77	12	39	24
AC107871.2	0	179	0	0	0	0	0	0	2	0	51	0	0	0
AC107881.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107882.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107884.1	21	0	10	80	26	0	9	13	8	11	58	25	3	55
AC107884.2	1	0	0	0	0	0	0	0	1	0	0	0	0	3
AC107886.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107890.1	0	0	0	1	2	0	0	0	0	0	0	0	1	3
AC107892.1	0	0	26	0	0	0	3	0	0	0	0	0	0	0
AC107896.1	3	0	0	0	0	0	0	0	0	0	0	0	3	0
AC107905.1	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AC107909.1	18	0	0	0	0	1	1	0	0	0	4	0	0	0
AC107909.2	0	0	0	0	0	28	0	0	4	0	0	0	11	3
AC107918.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107918.2	0	0	0	0	2	0	0	0	12	0	0	0	1	0
AC107918.3	0	0	0	17	0	0	0	0	0	0	0	0	0	0
AC107918.4	4	0	1	0	6	19	0	0	21	0	0	0	0	22
AC107918.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107918.6	0	0	0	0	0	0	0	0	0	0	0	1	0	3
AC107926.1	0	0	0	0	0	0	0	0	0	0	1	0	13	0
AC107934.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107934.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AC107939.1	0	0	0	0	0	0	4	0	0	0	0	0	5	2
AC107952.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107952.2	56	15	8	0	20	41	31	13	42	0	0	13	13	48
AC107953.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC107953.2	27	0	8	0	0	0	1	0	12	0	42	0	25	1
AC107954.1	36	19	16	7	59	59	18	26	18	26	34	49	29	34
AC107956.1	44	179	68	163	82	208	152	98	69	65	66	68	45	62
AC107956.2	5	2	0	4	5	4	0	3	0	2	0	0	2	4
AC107958.1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
AC107958.2	0	0	0	0	0	0	0	0	3	0	0	2	0	0
AC107958.3	58	0	0	0	0	9	7	1	26	0	16	11	17	0
AC107959.1	14	4	13	0	38	35	21	28	13	5	4	3	13	22
AC107959.2	0	0	0	0	0	0	0	3	2	5	4	4	1	9
AC107959.3	0	1	7	0	2	0	3	3	5	1	9	9	5	0
AC107959.4	26	298	30	29	47	67	56	36	35	26	42	33	24	41
AC107959.5	0	0	0	0	0	0	9	0	1	3	3	2	2	0
AC107973.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC107976.1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
AC107980.1	0	0	11	0	0	0	0	0	0	0	0	0	37	0
AC107982.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC107982.2	0	0	0	0	2	1	12	0	0	3	0	1	12	0
AC107982.3	0	0	16	2	57	34	45	18	14	34	86	24	43	29
AC107983.1	25	72	25	73	28	52	56	34	17	21	12	10	15	33
AC107990.1	0	0	0	0	0	3	0	0	1	0	0	0	0	1
AC107993.1	4	0	7	0	1	4	0	8	2	0	7	1	4	1
AC108002.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108002.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108010.1	6	0	24	1	7	11	21	19	10	8	6	6	11	16
AC108019.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108019.2	0	23	3	0	0	0	1	0	5	0	0	0	0	0
AC108021.1	0	0	0	0	1	0	0	0	0	0	0	7	10	3
AC108022.1	15	0	0	0	0	0	0	0	9	0	0	5	4	0
AC108022.2	4	4	1	2	10	0	3	2	13	2	19	4	5	4
AC108025.1	0	0	3	0	0	0	0	22	0	0	47	0	6	1
AC108032.1	14	0	0	0	0	0	0	0	1	0	0	0	7	0
AC108037.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108039.1	0	0	2	0	1	1	0	0	1	0	2	0	0	2
AC108039.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108043.1	0	0	15	1	1	0	0	5	0	0	0	0	0	0
AC108046.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108047.1	16	15	13	0	55	2	18	8	18	0	22	10	11	2
AC108050.1	9	0	0	0	0	0	6	1	1	0	0	6	54	0
AC108051.1	0	0	0	0	0	0	0	0	0	0	11	0	0	0
AC108052.1	23	0	1	0	5	0	0	0	9	0	2	1	11	2
AC108053.1	191	78	160	60	184	244	230	180	139	195	288	103	262	137
AC108057.1	0	0	7	0	0	0	0	0	0	0	0	0	0	0
AC108058.1	28	23	10	25	33	32	18	80	24	37	13	14	45	43
AC108059.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC108059.2	1	1	1	0	0	1	0	0	0	0	0	0	1	0
AC108059.3	0	4	0	0	1	2	0	2	5	0	15	0	0	9
AC108063.1	0	0	0	0	8	0	0	0	0	0	0	0	0	0
AC108063.2	0	0	18	0	5	0	0	0	7	0	10	0	0	2
AC108064.1	1	0	0	0	0	0	1	0	1	0	1	0	0	1
AC108065.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108065.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108066.1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
AC108066.2	8	0	4	0	3	8	0	11	24	8	82	75	8	10
AC108067.1	0	0	3	0	2	4	2	3	0	0	21	0	1	0
AC108073.1	7	5	12	0	6	0	10	4	11	4	13	1	16	6
AC108073.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108073.3	0	0	4	0	0	4	8	10	1	0	0	0	5	0
AC108075.1	0	0	0	0	0	0	0	0	4	0	0	0	0	0
AC108078.1	0	0	0	0	0	0	0	0	7	0	0	0	0	0
AC108078.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC108078.3	0	0	1	0	0	0	0	0	25	0	0	0	0	1
AC108081.1	0	0	0	0	0	0	0	3	0	0	2	0	0	7
AC108082.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108097.1	5	0	0	0	0	4	1	0	0	0	22	0	32	0
AC108099.1	0	0	0	0	0	0	0	0	4	0	0	0	0	0
AC108102.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108103.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108105.1	0	0	6	0	2	0	26	0	7	0	17	0	0	6
AC108112.1	0	0	0	0	0	0	0	0	2	0	0	0	2	0
AC108114.1	3	27	6	4	10	11	17	5	7	3	19	5	10	15
AC108120.1	1	2	0	1	0	2	1	0	0	0	1	0	0	0
AC108120.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108120.3	0	0	1	0	0	0	0	0	3	0	0	0	0	0
AC108125.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC108134.1	0	0	2	0	1	0	0	0	2	0	0	0	0	1
AC108134.2	8	60	2	0	4	7	8	0	2	3	8	5	52	13
AC108134.3	8	1	62	37	61	35	151	99	59	43	8	91	51	86
AC108134.4	0	0	3	0	7	3	9	1	1	3	0	0	0	8
AC108136.1	0	0	0	0	0	1	0	0	8	0	19	0	0	0
AC108142.1	0	0	0	0	0	0	0	0	0	0	0	0	10	2
AC108156.1	0	0	0	0	0	0	3	0	0	0	0	0	16	5
AC108157.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AC108159.1	21	0	7	0	5	8	8	10	9	7	6	4	17	1
AC108161.1	2	9	1	1	4	14	3	8	10	7	12	2	2	7
AC108168.1	0	0	0	0	0	0	1	0	0	1	0	0	2	0
AC108169.1	0	0	1	0	0	0	1	2	1	0	29	2	4	1
AC108174.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108199.1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AC108206.1	0	0	0	0	0	0	0	1	10	0	0	0	6	0
AC108206.2	0	0	8	0	18	0	0	1	2	0	40	0	0	0
AC108210.1	0	1	33	2	0	6	29	0	6	0	82	0	6	13
AC108210.2	0	0	5	0	8	0	5	0	0	0	0	3	0	0
AC108215.1	35	71	15	1	0	23	4	25	45	7	64	12	115	23
AC108222.1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
AC108359.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108448.1	2	0	0	0	0	0	0	0	0	0	0	0	1	0
AC108448.2	2	0	0	0	0	2	11	2	4	1	0	0	0	6
AC108448.3	0	0	2	0	0	0	0	0	1	0	0	0	3	0
AC108449.1	0	0	0	0	2	0	0	0	0	0	0	2	0	7
AC108449.2	791	535	992	533	1025	682	804	901	817	995	1068	1103	860	923
AC108449.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108451.1	0	0	0	0	10	5	0	0	0	0	9	0	1	0
AC108451.2	1	0	2	0	5	0	0	0	0	0	0	0	0	0
AC108452.1	15	0	0	0	0	0	6	0	7	0	0	0	0	0
AC108457.1	2	0	8	0	0	2	7	0	5	0	17	5	0	2
AC108462.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108463.1	32	31	16	0	25	25	19	10	12	17	35	6	31	21
AC108463.2	0	0	9	0	24	1	12	9	7	3	0	1	3	3
AC108463.3	115	0	26	30	1	13	6	54	23	28	115	25	43	43
AC108467.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC108467.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108471.1	18	5	22	3	40	17	23	4	9	21	13	24	19	17
AC108471.2	0	0	0	0	0	0	1	0	0	0	6	0	0	0
AC108471.3	14	0	32	2	27	56	29	12	24	28	118	18	5	3
AC108471.4	0	1	0	1	0	19	8	5	27	6	0	18	37	1
AC108472.1	2	0	2	4	0	4	5	1	1	3	0	1	2	0
AC108475.1	0	0	0	0	5	2	1	6	3	1	65	0	7	0
AC108477.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108477.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108479.1	0	0	1	0	0	2	0	1	0	0	0	1	0	0
AC108479.2	1	0	2	0	0	0	0	0	0	1	0	0	0	0
AC108482.1	0	0	0	0	0	1	0	0	3	0	0	0	0	0
AC108482.2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AC108488.1	0	0	3	0	0	4	12	0	7	2	0	12	9	4
AC108488.2	39	0	7	67	15	18	43	15	15	16	19	11	12	8
AC108488.3	34	18	26	3	22	54	34	25	13	28	23	32	24	58
AC108515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC108516.1	24	0	0	0	0	7	0	0	0	0	0	0	0	0
AC108516.2	0	1	0	0	0	0	0	0	0	0	1	0	0	0
AC108517.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108517.2	63	0	0	0	4	0	1	0	5	0	21	0	2	0
AC108519.1	4	4	8	1	3	1	23	2	1	2	11	1	44	0
AC108667.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108667.2	18	0	4	0	2	0	0	2	1	0	2	5	10	10
AC108667.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC108673.1	1	48	0	0	0	2	12	0	4	2	3	0	5	8
AC108673.2	16	29	5	0	13	22	14	9	13	8	0	6	2	13
AC108673.3	1	25	5	0	34	2	20	4	20	5	21	11	26	15
AC108676.1	0	0	4	1	1	7	14	0	2	4	1	64	87	11
AC108676.2	0	0	0	0	0	0	0	1	0	0	0	0	1	0
AC108681.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108688.1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
AC108690.1	62	0	10	0	5	9	61	10	34	6	0	3	32	29
AC108693.1	71	48	66	10	106	131	57	149	53	85	2	169	248	140
AC108693.2	0	1	1	0	0	2	4	1	2	0	0	1	0	4
AC108704.1	0	9	12	0	0	1	19	0	1	0	0	0	17	3
AC108704.2	45	144	23	0	17	61	36	62	24	32	35	56	36	55
AC108706.1	0	0	0	0	0	2	0	0	25	0	0	0	0	25
AC108713.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108718.1	20	10	6	0	2	11	1	0	5	1	18	14	1	9
AC108721.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108721.2	1	0	0	0	0	59	0	11	76	1	0	21	117	29
AC108724.1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
AC108724.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108725.1	9	5	0	2	3	0	0	1	1	0	19	1	13	0
AC108726.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108727.1	0	0	20	0	0	0	0	0	0	0	0	0	0	0
AC108727.2	0	70	0	0	0	0	0	0	0	0	8	0	0	0
AC108729.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108729.2	0	0	0	0	0	1	0	0	3	0	1	0	1	0
AC108729.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC108733.1	0	0	0	0	0	0	0	1	1	0	0	0	0	5
AC108734.1	3	1	2	1	1	10	1	0	2	0	4	7	3	1
AC108734.2	10	12	7	3	6	9	11	9	9	4	8	9	12	17
AC108734.3	7	4	4	3	17	1	1	2	79	6	2	6	4	9
AC108734.4	19	0	1	0	8	59	47	48	26	33	87	58	50	48
AC108738.1	14	0	0	0	0	4	0	0	3	0	10	0	0	2
AC108740.1	0	0	2	0	0	1	0	0	20	0	0	0	0	0
AC108747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
