gene,type
LTBP2,growth_factors_&_receptors
LTBP3,growth_factors_&_receptors
LTBP4,growth_factors_&_receptors
LTBR,cytokin/chemokine_&_receptors
LYN,growth_factors_&_receptors
M0QZQ0,growth_factors_&_receptors
MACC1,growth_factors_&_receptors
MANF,growth_factors_&_receptors
MC1R,hormones_&_receptors
MC3R,hormones_&_receptors
MC4R,hormones_&_receptors
MC5R,hormones_&_receptors
MCHR1,hormones_&_receptors
MDK,growth_factors_&_receptors
METRN,hormones_&_receptors
METRNL,hormones_&_receptors
MIA,growth_factors_&_receptors
MLN,hormones_&_receptors
MLNR,hormones_&_receptors
MPL,cytokin/chemokine_&_receptors
MS4A1,growth_factors_&_receptors
MSTN,cytokin/chemokine_&_receptors
MSTN,growth_factors_&_receptors
MTNR1A,hormones_&_receptors
MYD88,growth_factors_&_receptors
NCOA6,hormones_&_receptors
NCSTN,growth_factors_&_receptors
NENF,growth_factors_&_receptors
NGF,growth_factors_&_receptors
NGF,cytokin/chemokine_&_receptors
NGFR,cytokin/chemokine_&_receptors
NGFR,growth_factors_&_receptors
NKD2,growth_factors_&_receptors
NLRP7,growth_factors_&_receptors
NMB,hormones_&_receptors
NODAL,cytokin/chemokine_&_receptors
NODAL,growth_factors_&_receptors
NPFF,hormones_&_receptors
NPPA,hormones_&_receptors
NPPB,hormones_&_receptors
NPPC,hormones_&_receptors
NPR1,hormones_&_receptors
NPR2,hormones_&_receptors
NPR3,hormones_&_receptors
NPTN,growth_factors_&_receptors
NPY,hormones_&_receptors
NPY4R,hormones_&_receptors
NR3C1,hormones_&_receptors
NRDC,growth_factors_&_receptors
NRDC,hormones_&_receptors
NRG1,growth_factors_&_receptors
NRG2,growth_factors_&_receptors
NRG3,growth_factors_&_receptors
NRG4,growth_factors_&_receptors
NRP1,growth_factors_&_receptors
NRP2,growth_factors_&_receptors
NRROS,growth_factors_&_receptors
NRTN,growth_factors_&_receptors
NRXN1,growth_factors_&_receptors
NT6-gamma,growth_factors_&_receptors
NTF3,growth_factors_&_receptors
NTF4,growth_factors_&_receptors
NTF5,growth_factors_&_receptors
NTRK1,growth_factors_&_receptors
NTRK2,growth_factors_&_receptors
NTRK3,growth_factors_&_receptors
NTS,hormones_&_receptors
O15163,growth_factors_&_receptors
OGN,growth_factors_&_receptors
OSGIN1,growth_factors_&_receptors
OSGIN2,growth_factors_&_receptors
OSM,growth_factors_&_receptors
OSM,cytokin/chemokine_&_receptors
OSMR,cytokin/chemokine_&_receptors
OSMR,growth_factors_&_receptors
OSTN,hormones_&_receptors
OXT,hormones_&_receptors
OXTR,hormones_&_receptors
P69208,growth_factors_&_receptors
P78451,hormones_&_receptors
PACAP,hormones_&_receptors
PCSK6,growth_factors_&_receptors
PDCL3,growth_factors_&_receptors
PDE3A,hormones_&_receptors
pdgf-aa_human,growth_factors_&_receptors
pdgf-ab_human,growth_factors_&_receptors
pdgf-bb_human,growth_factors_&_receptors
PDGFA,growth_factors_&_receptors
PDGFB,growth_factors_&_receptors
PDGFC,growth_factors_&_receptors
PDGFD,growth_factors_&_receptors
PDGFRA,growth_factors_&_receptors
PDGFRB,growth_factors_&_receptors
Pe1Fe13,growth_factors_&_receptors
Pe1Fe3,growth_factors_&_receptors
Pe1Fe6,growth_factors_&_receptors
Pe7Fe14,growth_factors_&_receptors
PENK,hormones_&_receptors
PF4,cytokin/chemokine_&_receptors
PF4V1,cytokin/chemokine_&_receptors
PGF,growth_factors_&_receptors
PIBF1,growth_factors_&_receptors
PIK3R1,hormones_&_receptors
PLSCR1,growth_factors_&_receptors
PMCH,hormones_&_receptors
PMCHL1,hormones_&_receptors
PMCHL2,hormones_&_receptors
PNOC,hormones_&_receptors
POMC,hormones_&_receptors
PPBP,cytokin/chemokine_&_receptors
PPBP,growth_factors_&_receptors
PPY,hormones_&_receptors
PRED3,growth_factors_&_receptors
PRH,hormones_&_receptors
PRL,cytokin/chemokine_&_receptors
PRL,hormones_&_receptors
PRLH,hormones_&_receptors
PRLR,cytokin/chemokine_&_receptors
PRLR,hormones_&_receptors
PROK1,growth_factors_&_receptors
proopiomelanocortin/ POMC,hormones_&_receptors
PSEN1,growth_factors_&_receptors
PSMC5,hormones_&_receptors
PSPN,growth_factors_&_receptors
PTH,hormones_&_receptors
PTH1R,hormones_&_receptors
PTH2R,hormones_&_receptors
PTHLH,hormones_&_receptors
PTN,growth_factors_&_receptors
PTPN11,hormones_&_receptors
PTPRJ,growth_factors_&_receptors
PXDN,growth_factors_&_receptors
PYCARD,growth_factors_&_receptors
PYY,hormones_&_receptors
PYY3,hormones_&_receptors
Q14487,growth_factors_&_receptors
Q14569,growth_factors_&_receptors
Q15962,hormones_&_receptors
Q16089,growth_factors_&_receptors
Q4TVR7,hormones_&_receptors
Q53FH4,growth_factors_&_receptors
Q53FX1,growth_factors_&_receptors
Q53H39,growth_factors_&_receptors
Q53H39,hormones_&_receptors
Q53H93,growth_factors_&_receptors
Q59EB0,growth_factors_&_receptors
Q59F20,growth_factors_&_receptors
Q59FF1,growth_factors_&_receptors
Q59FH5,growth_factors_&_receptors
Q59GC5,growth_factors_&_receptors
Q59GC5,hormones_&_receptors
Q59GF0,hormones_&_receptors
Q59H07,growth_factors_&_receptors
Q5TZZ7,hormones_&_receptors
Q5Y392,hormones_&_receptors
Q647J8,growth_factors_&_receptors
Q6A549,growth_factors_&_receptors
Q6LBZ0,growth_factors_&_receptors
Q6QBS1,growth_factors_&_receptors
Q6ZSD0,growth_factors_&_receptors
Q7KZ35,hormones_&_receptors
Q7RU00,growth_factors_&_receptors
Q7Z532,growth_factors_&_receptors
Q86U50,hormones_&_receptors
Q86UF5,growth_factors_&_receptors
Q8N6T2,growth_factors_&_receptors
Q8NBG6,growth_factors_&_receptors
Q8TDB1,hormones_&_receptors
Q8TDB2,hormones_&_receptors
Q8TDZ6,growth_factors_&_receptors
Q9HBP0,growth_factors_&_receptors
Q9HBP0,hormones_&_receptors
Q9UE57,growth_factors_&_receptors
Q9UEW6,hormones_&_receptors
Q9UIS1,growth_factors_&_receptors
Q9UIS2,growth_factors_&_receptors
Q9UIS3,growth_factors_&_receptors
QRFP,hormones_&_receptors
RABEP1,growth_factors_&_receptors
RABEP2,growth_factors_&_receptors
RAMP1,hormones_&_receptors
RAMP2,hormones_&_receptors
REG1A,growth_factors_&_receptors
RELM-beta,hormones_&_receptors
RELT,cytokin/chemokine_&_receptors
RETN,hormones_&_receptors
RETNLB,hormones_&_receptors
RHBDF1,growth_factors_&_receptors
RHBDF2,growth_factors_&_receptors
RLN1,hormones_&_receptors
RLN2,hormones_&_receptors
RLN3,hormones_&_receptors
RNF126,growth_factors_&_receptors
RNF41,growth_factors_&_receptors
RPS19,growth_factors_&_receptors
RPS2,growth_factors_&_receptors
RXFP1,hormones_&_receptors
rxra-thra_human,hormones_&_receptors
rxra-thrb_human,hormones_&_receptors
S100A13,growth_factors_&_receptors
S4R385,hormones_&_receptors
S5MI63,growth_factors_&_receptors
SCN5A,growth_factors_&_receptors
SCT,hormones_&_receptors
SCTR,hormones_&_receptors
SDCBP,growth_factors_&_receptors
SEC61B,growth_factors_&_receptors
SEC61B,hormones_&_receptors
SHBG,hormones_&_receptors
SHC1,growth_factors_&_receptors
SHC1,hormones_&_receptors
SLC40A1,hormones_&_receptors
SLC9A3R1,growth_factors_&_receptors
SNX1,growth_factors_&_receptors
SNX2,growth_factors_&_receptors
SNX4,growth_factors_&_receptors
SOCS2,hormones_&_receptors
SOCS5,growth_factors_&_receptors
SORT1,growth_factors_&_receptors
SPINT3,growth_factors_&_receptors
SPX,hormones_&_receptors
SRC,growth_factors_&_receptors
SRPX2,growth_factors_&_receptors
SST,hormones_&_receptors
stc1,hormones_&_receptors
STC1,hormones_&_receptors
STC2,hormones_&_receptors
SULT2B1,hormones_&_receptors
T2DKX4,hormones_&_receptors
TDGF1,growth_factors_&_receptors
TDGF1P3,growth_factors_&_receptors
TFF1,growth_factors_&_receptors
TG,hormones_&_receptors
TGF-beta1,growth_factors_&_receptors
TGFA,growth_factors_&_receptors
TGFB1,cytokin/chemokine_&_receptors
TGFB1,growth_factors_&_receptors
TGFB2,cytokin/chemokine_&_receptors
TGFB2,growth_factors_&_receptors
TGFB3,cytokin/chemokine_&_receptors
TGFB3,growth_factors_&_receptors
TGFBR1,cytokin/chemokine_&_receptors
TGFBR1,growth_factors_&_receptors
TGFBR2,cytokin/chemokine_&_receptors
TGFBR2,growth_factors_&_receptors
TGFBR3,growth_factors_&_receptors
TGFBR3L,growth_factors_&_receptors
THBS1,growth_factors_&_receptors
THBS4,growth_factors_&_receptors
THPO,growth_factors_&_receptors
THPO,cytokin/chemokine_&_receptors
THPO,hormones_&_receptors
THRA,hormones_&_receptors
THRB,hormones_&_receptors
TIMM50,growth_factors_&_receptors
TIMP1,growth_factors_&_receptors
TLR5,growth_factors_&_receptors
TLR9,growth_factors_&_receptors
TNF,cytokin/chemokine_&_receptors
TNFRSF10A,cytokin/chemokine_&_receptors
TNFRSF10B,cytokin/chemokine_&_receptors
TNFRSF10C,cytokin/chemokine_&_receptors
TNFRSF10D,cytokin/chemokine_&_receptors
TNFRSF11A,cytokin/chemokine_&_receptors
TNFRSF11B,cytokin/chemokine_&_receptors
TNFRSF12A,cytokin/chemokine_&_receptors
TNFRSF13B,cytokin/chemokine_&_receptors
TNFRSF13C,cytokin/chemokine_&_receptors
TNFRSF14,cytokin/chemokine_&_receptors
TNFRSF17,cytokin/chemokine_&_receptors
TNFRSF18,cytokin/chemokine_&_receptors
TNFRSF19,cytokin/chemokine_&_receptors
TNFRSF1A,cytokin/chemokine_&_receptors
TNFRSF1B,cytokin/chemokine_&_receptors
TNFRSF21,cytokin/chemokine_&_receptors
TNFRSF25,cytokin/chemokine_&_receptors
TNFRSF4,cytokin/chemokine_&_receptors
TNFRSF6B,cytokin/chemokine_&_receptors
TNFRSF8,cytokin/chemokine_&_receptors
TNFRSF9,cytokin/chemokine_&_receptors
TNFSF10,cytokin/chemokine_&_receptors
TNFSF11,cytokin/chemokine_&_receptors
TNFSF12,cytokin/chemokine_&_receptors
TNFSF13,cytokin/chemokine_&_receptors
TNFSF13B,cytokin/chemokine_&_receptors
TNFSF14,cytokin/chemokine_&_receptors
TNFSF15,cytokin/chemokine_&_receptors
TNFSF18,cytokin/chemokine_&_receptors
TNFSF4,cytokin/chemokine_&_receptors
TNFSF8,cytokin/chemokine_&_receptors
TNFSF9,cytokin/chemokine_&_receptors
TNK2,growth_factors_&_receptors
TOLLIP,growth_factors_&_receptors
TOR2A,hormones_&_receptors
transthyretin/ TTR,hormones_&_receptors
TRH,hormones_&_receptors
TRIM16,growth_factors_&_receptors
TRIP6,growth_factors_&_receptors
TSHB,hormones_&_receptors
tshb-cga_human,hormones_&_receptors
TSKU,growth_factors_&_receptors
TSLP,growth_factors_&_receptors
TSLP,cytokin/chemokine_&_receptors
TSPO,hormones_&_receptors
TTR,hormones_&_receptors
TWSG1,growth_factors_&_receptors
TYK2,hormones_&_receptors
TYMP,growth_factors_&_receptors
U3MHQ9,hormones_&_receptors
UCN,hormones_&_receptors
UCN2,hormones_&_receptors
UCN3,hormones_&_receptors
UTS2,hormones_&_receptors
UTS2B,hormones_&_receptors
V9H0U8,hormones_&_receptors
VASN,growth_factors_&_receptors
VAV2,growth_factors_&_receptors
VAV3,growth_factors_&_receptors
VEGF,growth_factors_&_receptors
VEGFA,growth_factors_&_receptors
vegfa_human-1,growth_factors_&_receptors
VEGFB,growth_factors_&_receptors
vegfb_human-1,growth_factors_&_receptors
VEGFC,growth_factors_&_receptors
vegfc_human-1,growth_factors_&_receptors
VEGFD,growth_factors_&_receptors
VGF,hormones_&_receptors
VGF,growth_factors_&_receptors
VIP,hormones_&_receptors
VIPR1,hormones_&_receptors
VIPR2,hormones_&_receptors
WFIKKN1,growth_factors_&_receptors
WFIKKN2,growth_factors_&_receptors
XCL1,cytokin/chemokine_&_receptors
XCL2,cytokin/chemokine_&_receptors
XCR1,cytokin/chemokine_&_receptors
