gene,type
CCL1,cytokin/chemokine_&_receptors
CCL11,cytokin/chemokine_&_receptors
CCL13,cytokin/chemokine_&_receptors
CCL14,cytokin/chemokine_&_receptors
CCL15,cytokin/chemokine_&_receptors
CCL16,cytokin/chemokine_&_receptors
CCL17,cytokin/chemokine_&_receptors
CCL18,cytokin/chemokine_&_receptors
CCL19,cytokin/chemokine_&_receptors
CCL2,cytokin/chemokine_&_receptors
CCL20,cytokin/chemokine_&_receptors
CCL21,cytokin/chemokine_&_receptors
CCL22,cytokin/chemokine_&_receptors
CCL23,cytokin/chemokine_&_receptors
CCL24,cytokin/chemokine_&_receptors
CCL25,cytokin/chemokine_&_receptors
CCL25,hormones_&_receptors
CCL26,cytokin/chemokine_&_receptors
CCL27,cytokin/chemokine_&_receptors
CCL28,cytokin/chemokine_&_receptors
CCL3,cytokin/chemokine_&_receptors
CCL3L1,cytokin/chemokine_&_receptors
CCL3L3,cytokin/chemokine_&_receptors
CCL4,cytokin/chemokine_&_receptors
CCL4L1,cytokin/chemokine_&_receptors
CCL4L2,cytokin/chemokine_&_receptors
CCL5,cytokin/chemokine_&_receptors
CCL7,cytokin/chemokine_&_receptors
CCL8,cytokin/chemokine_&_receptors
CCN1,growth_factors_&_receptors
CCN2,growth_factors_&_receptors
CCN3,growth_factors_&_receptors
CCN6,growth_factors_&_receptors
CCR1,cytokin/chemokine_&_receptors
CCR10,cytokin/chemokine_&_receptors
CCR2,cytokin/chemokine_&_receptors
CCR3,cytokin/chemokine_&_receptors
CCR4,cytokin/chemokine_&_receptors
CCR5,cytokin/chemokine_&_receptors
CCR6,cytokin/chemokine_&_receptors
CCR7,cytokin/chemokine_&_receptors
CCR8,cytokin/chemokine_&_receptors
CCR9,cytokin/chemokine_&_receptors
CD109,growth_factors_&_receptors
CD27,cytokin/chemokine_&_receptors
CD2AP,growth_factors_&_receptors
CD300LF,growth_factors_&_receptors
CD320,growth_factors_&_receptors
CD36,growth_factors_&_receptors
CD4,cytokin/chemokine_&_receptors
CD40,cytokin/chemokine_&_receptors
CD40LG,cytokin/chemokine_&_receptors
CD70,cytokin/chemokine_&_receptors
CDH13,hormones_&_receptors
CDH5,growth_factors_&_receptors
CDNF,growth_factors_&_receptors
CENPS-CORT,hormones_&_receptors
CEP57,growth_factors_&_receptors
CGA,hormones_&_receptors
CGB1,hormones_&_receptors
CGB2,hormones_&_receptors
CGB3,hormones_&_receptors
cgb3-cga_human,hormones_&_receptors
CGB5,hormones_&_receptors
CGB7,hormones_&_receptors
CHGB,hormones_&_receptors
CHRDL1,growth_factors_&_receptors
CLCF1,growth_factors_&_receptors
CLCF1,cytokin/chemokine_&_receptors
CLEC11A,growth_factors_&_receptors
CMKLR1,hormones_&_receptors
CMKLR2,hormones_&_receptors
CNOT9,growth_factors_&_receptors
CNTF,growth_factors_&_receptors
CNTF,cytokin/chemokine_&_receptors
